score,wf90_comp_pct,wf90_mean_ret_pct,wf90_avg_pf,wf90_avg_dd_pct,wf90_trades,full_ret_pct,full_pf,full_dd_pct,max_positions,max_trades_per_day,max_daily_loss_usd,max_holding_hours,trailing_activation_pct
4.933340962183792,3.147890926389496,0.6659617635427441,1.338757114176948,-2.044742801615821,203,-5.156583172981244,0.9250148440118099,-13.622153386656022,2,6,15.0,24.0,0.008
4.494217865501741,3.1790116273700875,0.6712585355227717,1.3350209255763954,-2.0243103692828113,202,-9.60099092622947,0.8636522376629094,-17.670087640539975,2,6,15.0,24.0,0.01
4.395539312807639,2.8536914314392536,0.608186614105204,1.3132625604218782,-2.09853354994874,206,-5.445458920168922,0.9214102843385389,-13.622153386656022,2,10,15.0,24.0,0.008
3.966759999775297,2.8844999163220253,0.6134833860852361,1.310859383164503,-2.0781415726051837,205,-9.889866673417158,0.8605826401173695,-17.670087640539975,2,10,15.0,24.0,0.01
0.4909280406510259,-0.06565125862562082,0.029120072064965363,1.2280826260853288,-2.323525006842619,194,-8.033767080374599,0.8809434446425443,-15.546068637341454,2,10,8.0,24.0,0.008
0.4909280406510259,-0.06565125862562082,0.029120072064965363,1.2280826260853288,-2.323525006842619,194,-8.033767080374599,0.8809434446425443,-15.546068637341454,2,6,8.0,24.0,0.008
0.1370482940799287,-0.17345551213824306,0.007501723373026792,1.221062974042265,-2.327940768815928,194,-9.92411832356762,0.8548534548953214,-17.135954298623073,2,6,8.0,24.0,0.01
0.1370482940799287,-0.17345551213824306,0.007501723373026792,1.221062974042265,-2.327940768815928,194,-9.92411832356762,0.8548534548953214,-17.135954298623073,2,10,8.0,24.0,0.01
-1.1408594498484455,-1.1973072101280513,-0.22491315947696489,1.1721256404905276,-1.940501965832722,115,-9.324569704780705,0.7794455138288165,-14.07012677902952,1,10,8.0,24.0,0.01
-1.1408594498484455,-1.1973072101280513,-0.22491315947696489,1.1721256404905276,-1.940501965832722,115,-9.324569704780705,0.7794455138288165,-14.07012677902952,1,6,8.0,24.0,0.01
-1.283046065404292,-1.247401723117203,-0.23446126823927882,1.173717860270352,-1.9952521548352817,117,-10.263367934828482,0.7645335911629524,-15.00563675750245,1,6,15.0,24.0,0.01
-1.283046065404292,-1.247401723117203,-0.23446126823927882,1.173717860270352,-1.9952521548352817,117,-10.263367934828482,0.7645335911629524,-15.00563675750245,1,10,15.0,24.0,0.01
-1.7478406287940107,-1.698605103239903,-0.3290423598928882,1.1388750442382878,-1.9313912209196888,115,-7.739576352764721,0.8153662296613876,-12.78227175632959,1,10,8.0,24.0,0.008
-1.7478406287940107,-1.698605103239903,-0.3290423598928882,1.1388750442382878,-1.9313912209196888,115,-7.739576352764721,0.8153662296613876,-12.78227175632959,1,6,8.0,24.0,0.008
-1.8734254183457009,-1.7484941760122386,-0.33859046865520215,1.1405175407977581,-1.9861414099222485,117,-8.518432867310777,0.801507788184219,-13.558400234031783,1,6,15.0,24.0,0.008
-1.8734254183457009,-1.7484941760122386,-0.33859046865520215,1.1405175407977581,-1.9861414099222485,117,-8.518432867310777,0.801507788184219,-13.558400234031783,1,10,15.0,24.0,0.008
-4.808729636654562,-3.54319387952029,-0.6942667161096616,1.068025699165207,-2.320185816215533,145,-13.457041872128228,0.7231176684179488,-15.269856203265658,1,6,8.0,12.0,0.01
-4.808729636654562,-3.54319387952029,-0.6942667161096616,1.068025699165207,-2.320185816215533,145,-13.457041872128228,0.7231176684179488,-15.269856203265658,1,10,8.0,12.0,0.01
-5.220242607421523,-3.815424347370444,-0.7513583605706353,1.0204775230656171,-2.320185816215533,146,-11.046012813329087,0.7664103904612715,-13.260182820583587,1,6,8.0,12.0,0.008
-5.220242607421523,-3.815424347370444,-0.7513583605706353,1.0204775230656171,-2.320185816215533,146,-11.046012813329087,0.7664103904612715,-13.260182820583587,1,10,8.0,12.0,0.008
-6.300026956663691,-4.636823448225957,-0.9148327434447932,1.035791388159842,-2.540751843550666,145,-14.413842450063363,0.7114377669204879,-16.226656781200823,1,10,15.0,12.0,0.01
-6.300026956663691,-4.636823448225957,-0.9148327434447932,1.035791388159842,-2.540751843550666,145,-14.413842450063363,0.7114377669204879,-16.226656781200823,1,6,15.0,12.0,0.01
-6.682032551534608,-4.906014503786881,-0.9719243879057646,0.9882927139856807,-2.540751843550666,146,-11.74209390923039,0.7582122833261585,-13.95626391648491,1,10,15.0,12.0,0.008
-6.682032551534608,-4.906014503786881,-0.9719243879057646,0.9882927139856807,-2.540751843550666,146,-11.74209390923039,0.7582122833261585,-13.95626391648491,1,6,15.0,12.0,0.008
-7.719714145290296,-5.522501873304552,-1.0748790563420774,0.9907575955601502,-2.988817864785047,240,-15.255094635099354,0.793741696304341,-18.148665040747755,2,6,8.0,12.0,0.008
-7.903943993519576,-5.522501873304552,-1.0748790563420774,0.9907575955601502,-2.988817864785047,240,-17.09739311739216,0.7722615026678916,-19.990963523040545,2,10,8.0,12.0,0.008
-8.10080422340938,-6.021071133847622,-1.1726731820766667,0.9812984081526117,-3.1502233095016092,244,-13.000756928823288,0.8284091836770954,-16.559638308105797,2,6,15.0,12.0,0.008
-8.340259812469546,-6.021071133847622,-1.1726731820766667,0.9812984081526117,-3.1502233095016092,244,-15.395312819424955,0.7999550031834527,-18.28888322507339,2,10,15.0,12.0,0.008
-8.418049556395497,-5.9356283247824715,-1.1633596716314676,0.9771566495688369,-3.0960127790249716,238,-16.804718723587253,0.776208912907511,-19.826555136032812,2,6,8.0,12.0,0.01
