preset,interval,start,end,ok,return_pct,profit_factor,max_drawdown_pct,trades,win_rate_pct,final_equity
prod_15m_baseline,15m,2025-12-25,2026-02-15,True,5.264768697953692,1.2575147486476133,-1.6278493896559503,284,45.07042253521127,1052.647686979537
prod_30m_mean_revert,30m,2025-10-18,2026-02-15,True,6.535456751264768,1.2559032730274051,-4.484204855354569,266,50.0,1065.3545675126477
prod_1h_pattern_robust,1h,2025-07-19,2026-02-15,True,4.172727745629756,1.0999449507201364,-6.4701677369238615,324,47.839506172839506,1041.7272774562975
