config,wf90_comp_pct,wf90_pf_mean,wf90_dd_mean_pct,wf90_trades,full_ret_pct,full_pf,full_dd_pct,full_trades
pattern_r3,4.062510500862815,1.5487104634155942,-1.9807745668689445,143,2.72695310164881,1.0616539035587316,-8.346226989792136,341
base,2.585094232270424,1.2860645878404366,-1.9179316460722062,186,-5.156583172981244,0.9250148440118099,-13.622153386656022,488
pattern_r2,2.4757824857555732,1.4560243706661544,-2.0098011101600175,152,2.081607445502631,1.0434313522566234,-10.223552461278517,372
whitelist,1.683708307799825,1.7493547465927612,-1.1663942431650356,77,-1.9967039912899942,0.7869367175096917,-4.448812850540025,71
split_ls_pattern2_wl,1.3613981677426334,1.2896651860645498,-1.295873289191841,90,-3.5078549081448585,0.5985886278053523,-4.288920030889597,50
pattern_r3_whitelist,0.32171339668669585,1.9148954261832756,-1.773258051659783,85,-3.7123904109822914,0.635152498964244,-6.992937572615573,62
pattern_r2_whitelist,-0.47343783205356926,1.5607181800505254,-1.7206579108048508,88,-4.835831283241099,0.4114453260676592,-5.484472272138805,46
