symbol,display_name,volume_24h,candles_count,trades,total_pnl,return_pct,profit_factor,win_rate_pct,expectancy,max_drawdown_pct,robustness_score
AXS,AXS,2111405.90144,1618,18,-21.450816529737345,-2.1450816529737127,0.946029055950613,55.55555555555556,-1.1917120294298524,-27.426662252061522,-18.769337069419347
KAS,KAS,147178.842768,5001,103,-32.82537690104228,-3.282537690104237,0.9777485475686547,39.80582524271845,-0.31869297962176973,-37.3521027670615,-21.910431876268238
XMR,XMR,4600630.021409999,1685,25,-36.2912301352458,-3.62912301352456,0.9489889748047136,44.0,-1.451649205409832,-26.888705076554903,-20.70259856532661
AR,AR,790586.2025200002,5001,87,-37.21282928946251,-3.72128292894619,0.9767953322691627,44.827586206896555,-0.42773366999382195,-28.283409456982174,-18.131338802292266
kSHIB,kSHIB,1241239.534666,5001,74,-41.59488205209866,-4.159488205209838,0.9569469933704238,41.891891891891895,-0.562093000704036,-21.714172843187328,-15.6923932439778
BABY,BABY,135672.652912,5001,88,-50.010244328767754,-5.001024432876832,0.969878577635307,40.909090909090914,-0.5682982310087245,-41.54367955928681,-26.1029497376496
TRX,TRX,1040554.5723000002,5001,44,-63.82411447619148,-6.382411447619141,0.8177446741084672,38.63636363636363,-1.4505480562770792,-11.934865922128955,-15.589280247165277
SUI,SUI,17504519.661964,5001,98,-70.95220374424665,-7.09522037442476,0.959374285279739,35.714285714285715,-0.7240020790229249,-35.81568038639741,-25.07509510858247
TIA,TIA,1007302.133871,5001,103,-72.49401058298596,-7.249401058298622,0.9600928314743062,46.601941747572816,-0.7038253454658832,-29.861153894086158,-22.0736240589399
VIRTUAL,VIRTUAL,5253034.473534999,5001,120,-87.42867718671829,-8.742867718671876,0.9659861304705679,41.66666666666667,-0.7285723098893191,-43.986466840516975,-29.97434319825897
GALA,GALA,170534.2932790001,5001,77,-88.0730109873927,-8.807301098739295,0.9304228713206721,42.857142857142854,-1.1438053374986066,-30.41943461610134,-25.24656841070997
BSV,BSV,406947.2221099999,5001,79,-89.55663003126527,-8.955663003126535,0.9134270652869778,41.77215189873418,-1.1336282282438641,-31.11158677578757,-25.63170147748226
GMX,GMX,161888.9561969999,5001,79,-94.50017299129598,-9.450017299129632,0.9179512476003762,44.303797468354425,-1.1962047214088098,-31.142648933989026,-26.203424593786846
SPX,SPX,1509112.3015949999,5001,98,-107.06800837824395,-10.706800837824437,0.9570532941303518,44.89795918367347,-1.0925306977371831,-49.84232553968758,-35.73666488018584
MOODENG,MOODENG,2899094.8624720005,5001,107,-111.03502910419081,-11.103502910419117,0.9491253558849413,39.25233644859813,-1.0377105523756152,-43.50228902498113,-32.485305932217415
SUSHI,SUSHI,247613.4967329999,5001,81,-117.66309649963993,-11.766309649964002,0.903054511815551,37.03703703703704,-1.452630820983209,-44.03359863400191,-35.09047670584984
COMP,COMP,139813.93713,5001,92,-119.21576265846008,-11.921576265846046,0.9028140302395261,34.78260869565217,-1.2958235071571749,-48.18376596393205,-36.520985430514074
